sku,ingredient_id,qty_per_unit
ESP,BEAN,18
ESP,CUP,1
AMR,BEAN,18
AMR,CUP,1
CAP,BEAN,18
CAP,MILK,150
CAP,CUP,1
LAT,BEAN,18
LAT,MILK,220
LAT,CUP,1
FLW,BEAN,18
FLW,MILK,130
FLW,CUP,1
MOC,BEAN,18
MOC,MILK,200
MOC,CHOC,30
MOC,CUP,1
CLB,BEAN,30
CLB,CUP,1
ICL,BEAN,18
ICL,MILK,200
ICL,CUP,1
MAT,MATCHA,5
MAT,MILK,220
MAT,CUP,1
HOT,MILK,220
HOT,CHOC,40
HOT,CUP,1
CRO,CROISSANT,1
PNC,PAINCHOC,1
CKE,CAKESLICE,1
CKE2,CHEESECAKE,1
AVT,BREAD,2
AVT,AVOCADO,1
AVT,EGG,1
BFP,EGG,2
BFP,BREAD,2
BFP,SAUSAGE,2
SAN,CHICKEN,1
SAN,BREAD,2
PAS,PASTA,1
PAS,SAUCE,100
SAL,LETTUCE,1
SAL,TOMATO,2
IMP,SODA,1
WTR,WATERBOT,1
