order_id,datetime,staff_id,staff_name,table,channel,item_sku,item_name,category,qty,unit_price,line_amount,discount_amount,is_void,void_after_fire,is_comp,order_status,payment_method,payment_amount,tax_rate,customer_ref
ORD000001,2026-04-27 08:08:47,S02,Hamza,,takeaway,CAP,Cappuccino,Coffee,1,560,560.0,0.0,0,0,0,closed,wallet,588.0,0.05,C25fde7e354
ORD000002,2026-04-27 20:14:28,S05,Usman,,takeaway,FLW,Flat White,Coffee,1,600,600.0,0.0,0,0,0,closed,card,630.0,0.05,C113a998631
ORD000003,2026-04-27 12:54:22,S05,Usman,,takeaway,MOC,Mocha,Coffee,1,650,650.0,0.0,0,0,0,closed,cash,3703.0,0.15,
ORD000003,2026-04-27 12:54:22,S05,Usman,,takeaway,MAT,Matcha Latte,Coffee,1,720,720.0,0.0,0,0,0,closed,cash,3703.0,0.15,
ORD000003,2026-04-27 12:54:22,S05,Usman,,takeaway,BFP,Big Breakfast,Food,1,1850,1850.0,0.0,0,0,0,closed,cash,3703.0,0.15,
ORD000004,2026-04-27 09:10:23,S06,Zainab,T9,dine_in,CRO,Butter Croissant,Bakery,1,520,520.0,0.0,0,0,0,closed,cash,598.0,0.15,
ORD000005,2026-04-27 08:43:20,S01,Ayesha,T2,dine_in,IMP,Imported Soda,Other,1,480,480.0,0.0,0,0,0,closed,wallet,504.0,0.05,Ccb8af0dea2
ORD000006,2026-04-27 13:29:09,S05,Usman,T18,dine_in,CRO,Butter Croissant,Bakery,1,520,520.0,0.0,0,0,0,closed,cash,598.0,0.15,
ORD000007,2026-04-27 11:55:07,S03,Bilal,,takeaway,CRO,Butter Croissant,Bakery,1,520,520.0,0.0,0,0,0,closed,wallet,546.0,0.05,C572f9a346e
ORD000008,2026-04-27 21:43:56,S05,Usman,,takeaway,ESP,Espresso,Coffee,1,420,420.0,0.0,0,0,0,closed,cash,483.0,0.15,
ORD000009,2026-04-27 17:55:40,S05,Usman,,takeaway,AVT,Avocado Toast,Food,1,1450,1232.0,218.0,0,0,0,closed,cash,1417.0,0.15,Cadc987ad2c
ORD000010,2026-04-27 12:15:03,S04,Sara,,takeaway,WTR,Bottled Water,Other,1,150,150.0,0.0,0,0,0,closed,qr,914.0,0.05,C96285ec529
ORD000010,2026-04-27 12:15:03,S04,Sara,,takeaway,MAT,Matcha Latte,Coffee,1,720,720.0,0.0,0,0,0,closed,qr,914.0,0.05,C96285ec529
ORD000011,2026-04-27 21:45:19,S07,Daniyal,,takeaway,CAP,Cappuccino,Coffee,1,560,560.0,0.0,0,0,0,closed,cash,644.0,0.15,
ORD000012,2026-04-27 08:00:04,S01,Ayesha,T2,dine_in,ICL,Iced Latte,Coffee,1,640,640.0,0.0,0,0,0,closed,wallet,672.0,0.05,C84719e966a
ORD000013,2026-04-27 14:50:30,S07,Daniyal,T4,dine_in,SAN,Chicken Sandwich,Food,1,1350,1350.0,0.0,0,0,0,closed,cash,1552.0,0.15,
ORD000014,2026-04-27 17:15:12,S04,Sara,T5,dine_in,SAL,Garden Salad,Food,1,1250,1250.0,0.0,0,0,0,closed,cash,1438.0,0.15,
ORD000015,2026-04-27 21:05:59,S04,Sara,T16,dine_in,CAP,Cappuccino,Coffee,1,560,560.0,0.0,0,0,0,closed,cash,1874.0,0.15,
ORD000015,2026-04-27 21:05:59,S04,Sara,T16,dine_in,ESP,Espresso,Coffee,1,420,420.0,0.0,0,0,0,closed,cash,1874.0,0.15,
ORD000015,2026-04-27 21:05:59,S04,Sara,T16,dine_in,MOC,Mocha,Coffee,1,650,650.0,0.0,0,0,0,closed,cash,1874.0,0.15,
ORD000016,2026-04-27 07:37:47,S01,Ayesha,,takeaway,MAT,Matcha Latte,Coffee,1,720,720.0,0.0,0,0,0,closed,card,1932.0,0.05,C7fbe3398f9
ORD000016,2026-04-27 07:37:47,S01,Ayesha,,takeaway,AMR,Americano,Coffee,1,480,480.0,0.0,0,0,0,closed,card,1932.0,0.05,C7fbe3398f9
ORD000016,2026-04-27 07:37:47,S01,Ayesha,,takeaway,ICL,Iced Latte,Coffee,1,640,640.0,0.0,0,0,0,closed,card,1932.0,0.05,C7fbe3398f9
ORD000017,2026-04-27 09:59:16,S04,Sara,,takeaway,FLW,Flat White,Coffee,1,600,600.0,0.0,0,0,0,closed,card,1260.0,0.05,C77ae45bf0e
ORD000017,2026-04-27 09:59:16,S04,Sara,,takeaway,FLW,Flat White,Coffee,1,600,600.0,0.0,0,0,0,closed,card,1260.0,0.05,C77ae45bf0e
ORD000018,2026-04-27 09:08:59,S06,Zainab,,takeaway,MAT,Matcha Latte,Coffee,1,720,720.0,0.0,0,0,0,closed,wallet,756.0,0.05,Cadc987ad2c
ORD000019,2026-04-27 16:52:35,S05,Usman,,takeaway,CAP,Cappuccino,Coffee,1,560,560.0,0.0,0,0,0,closed,card,588.0,0.05,C58bcd19901
ORD000020,2026-04-27 18:43:40,S05,Usman,T9,dine_in,BFP,Big Breakfast,Food,1,1850,1850.0,0.0,0,0,0,closed,qr,2446.0,0.05,Cf8be7523c8
ORD000020,2026-04-27 18:43:40,S05,Usman,T9,dine_in,AMR,Americano,Coffee,1,480,480.0,0.0,0,0,0,closed,qr,2446.0,0.05,Cf8be7523c8
ORD000021,2026-04-27 08:34:02,S06,Zainab,T5,dine_in,AMR,Americano,Coffee,1,480,480.0,0.0,0,0,0,closed,cash,2196.0,0.15,C5d90c0fdc3
ORD000021,2026-04-27 08:34:02,S06,Zainab,T5,dine_in,MOC,Mocha,Coffee,1,650,650.0,0.0,0,0,0,closed,cash,2196.0,0.15,C5d90c0fdc3
ORD000021,2026-04-27 08:34:02,S06,Zainab,T5,dine_in,CKE,Slice of Cake,Bakery,1,780,780.0,0.0,0,0,0,closed,cash,2196.0,0.15,C5d90c0fdc3
ORD000022,2026-04-27 18:56:26,S01,Ayesha,T11,dine_in,BFP,Big Breakfast,Food,1,1850,1850.0,0.0,0,0,0,closed,wallet,2552.0,0.05,Cbac72cb73a
ORD000022,2026-04-27 18:56:26,S01,Ayesha,T11,dine_in,LAT,Cafe Latte,Coffee,1,580,580.0,0.0,0,0,0,closed,wallet,2552.0,0.05,Cbac72cb73a
