receipt_id,datetime,ingredient_id,qty,unit_cost,unit
RC001,2026-04-27 07:00:00,BEAN,65,3500,kg
RC002,2026-04-27 07:00:00,MILK,500,250,litre
RC003,2026-04-27 07:00:00,CHOC,15000,0.8,
RC004,2026-04-27 07:00:00,MATCHA,1500,12,
RC005,2026-04-27 07:00:00,CUP,80,750,sleeve
RC006,2026-04-27 07:00:00,CROISSANT,400,180,
RC007,2026-04-27 07:00:00,PAINCHOC,250,220,
RC008,2026-04-27 07:00:00,CAKESLICE,350,260,
RC009,2026-04-27 07:00:00,CHEESECAKE,160,320,
RC010,2026-04-27 07:00:00,BREAD,74,625,loaf
RC011,2026-04-27 07:00:00,AVOCADO,300,120,
RC012,2026-04-27 07:00:00,EGG,920,35,
RC013,2026-04-27 07:00:00,SAUSAGE,600,90,
RC014,2026-04-27 07:00:00,CHICKEN,250,220,
RC015,2026-05-12 07:00:00,CHICKEN,200,220,
RC016,2026-04-27 07:00:00,PASTA,280,140,
RC017,2026-04-27 07:00:00,SAUCE,28000,0.6,
RC018,2026-04-27 07:00:00,LETTUCE,220,80,
RC019,2026-04-27 07:00:00,TOMATO,400,30,
RC020,2026-04-27 07:00:00,SODA,200,380,
RC021,2026-04-27 07:00:00,WATERBOT,300,60,
